Maximum temperature (Degree C),date,Total_of_Directions
35.9,2023-01-01,531929
32.0,2023-01-02,419828
21.1,2023-01-03,612289
18.7,2023-01-04,590510
21.6,2023-01-05,650095
25.6,2023-01-06,656406
30.2,2023-01-07,623541
31.9,2023-01-08,472427
26.2,2023-01-09,537404
21.6,2023-01-10,621852
29.9,2023-01-11,625048
24.0,2023-01-12,641566
24.2,2023-01-13,673328
37.6,2023-01-14,551292
20.6,2023-01-15,554388
27.0,2023-01-16,597575
37.2,2023-01-17,540202
19.9,2023-01-18,584818
19.3,2023-01-19,680201
21.0,2023-01-20,738383
23.0,2023-01-21,768726
23.4,2023-01-22,779417
28.0,2023-01-23,601717
28.6,2023-01-24,614722
30.0,2023-01-25,685854
21.6,2023-01-26,630271
26.8,2023-01-27,656929
34.2,2023-01-28,541870
23.8,2023-01-29,531919
21.7,2023-01-30,511222
22.2,2023-01-31,542938
21.0,2023-02-01,547307
21.3,2023-02-02,501897
18.8,2023-02-03,543766
20.7,2023-02-04,594507
19.8,2023-02-05,500486
20.9,2023-02-06,524795
20.4,2023-02-07,621715
22.2,2023-02-08,649267
26.4,2023-02-09,664150
26.7,2023-02-10,647287
25.7,2023-02-11,635053
20.7,2023-02-12,491437
20.9,2023-02-13,540188
22.2,2023-02-14,677125
32.4,2023-02-15,629481
37.2,2023-02-16,598449
40.5,2023-02-17,590655
24.9,2023-02-18,733641
27.9,2023-02-19,549906
24.0,2023-02-20,553893
22.2,2023-02-21,619672
30.6,2023-02-22,657223
32.4,2023-02-23,711002
32.3,2023-02-24,768466
26.7,2023-02-25,741453
23.4,2023-02-26,574122
20.2,2023-02-27,590310
17.6,2023-02-28,607638
21.1,2023-03-01,700533
21.7,2023-03-02,769610
19.8,2023-03-03,792374
31.4,2023-03-04,740563
32.9,2023-03-05,495003
25.3,2023-03-06,613537
23.2,2023-03-07,615388
19.4,2023-03-08,692729
22.1,2023-03-09,686859
24.0,2023-03-10,746173
24.7,2023-03-11,864852
20.7,2023-03-12,785244
22.4,2023-03-13,695093
30.5,2023-03-14,637630
22.9,2023-03-15,671786
28.5,2023-03-16,770493
24.6,2023-03-17,829987
36.2,2023-03-18,688405
19.0,2023-03-19,632516
20.8,2023-03-20,613501
19.4,2023-03-21,641495
22.8,2023-03-22,713106
22.6,2023-03-23,715537
21.6,2023-03-24,734741
19.6,2023-03-25,800759
19.9,2023-03-26,604728
18.3,2023-03-27,491195
20.9,2023-03-28,678376
18.5,2023-03-29,600428
19.1,2023-03-30,779473
19.4,2023-03-31,804935
16.4,2023-04-01,820052
18.3,2023-04-02,676591
22.6,2023-04-03,678352
21.7,2023-04-04,707752
18.4,2023-04-05,693593
26.3,2023-04-06,468041
19.9,2023-04-07,579378
18.0,2023-04-08,677942
15.5,2023-04-09,523932
15.2,2023-04-10,508026
19.1,2023-04-11,411510
19.3,2023-04-12,631045
22.8,2023-04-13,718988
25.4,2023-04-14,755375
21.2,2023-04-15,621633
17.2,2023-04-16,559714
20.7,2023-04-17,631673
22.8,2023-04-18,734445
17.5,2023-04-19,722579
18.5,2023-04-20,778899
19.0,2023-04-21,794338
19.2,2023-04-22,788679
19.0,2023-04-23,657391
24.9,2023-04-24,702085
25.9,2023-04-25,653086
24.6,2023-04-26,649956
22.6,2023-04-27,656815
21.6,2023-04-28,605402
15.9,2023-04-29,694457
16.3,2023-04-30,559374
18.1,2023-05-01,559153
20.3,2023-05-02,603164
15.7,2023-05-03,603411
15.6,2023-05-04,691516
17.9,2023-05-05,694757
13.5,2023-05-06,422712
13.4,2023-05-07,453145
15.2,2023-05-08,518960
16.5,2023-05-09,596845
15.3,2023-05-10,624899
18.4,2023-05-11,682754
18.4,2023-05-12,725829
16.8,2023-05-13,800976
20.7,2023-05-14,606748
22.1,2023-05-15,588886
13.7,2023-05-16,560878
14.8,2023-05-17,635156
13.7,2023-05-18,656821
14.6,2023-05-19,658607
15.0,2023-05-20,756234
14.9,2023-05-21,581616
16.4,2023-05-22,561469
16.8,2023-05-23,626718
15.9,2023-05-24,656404
15.0,2023-05-25,586418
14.4,2023-05-26,671254
15.8,2023-05-27,697576
16.5,2023-05-28,469320
17.0,2023-05-29,556140
18.7,2023-05-30,597367
17.7,2023-05-31,593065
14.7,2023-06-01,638969
15.2,2023-06-02,673709
15.2,2023-06-03,661262
18.4,2023-06-04,576755
20.1,2023-06-05,566200
17.4,2023-06-06,618047
18.4,2023-06-07,594116
16.9,2023-06-08,666326
15.6,2023-06-09,753288
15.5,2023-06-10,884858
17.0,2023-06-11,808855
15.3,2023-06-12,559755
14.6,2023-06-13,603562
16.2,2023-06-14,650840
15.6,2023-06-15,658288
17.6,2023-06-16,737123
16.5,2023-06-17,691569
14.6,2023-06-18,583978
11.9,2023-06-19,525376
12.1,2023-06-20,624637
11.8,2023-06-21,645829
13.7,2023-06-22,636108
11.3,2023-06-23,663448
15.1,2023-06-24,667311
13.2,2023-06-25,539168
16.0,2023-06-26,592429
14.9,2023-06-27,643219
12.7,2023-06-28,621187
12.9,2023-06-29,703630
15.2,2023-06-30,774859
13.5,2023-07-01,811060
12.8,2023-07-02,681465
14.5,2023-07-03,647666
13.6,2023-07-04,621196
14.7,2023-07-05,752242
15.2,2023-07-06,740754
15.5,2023-07-07,822263
14.9,2023-07-08,736475
16.9,2023-07-09,578838
17.1,2023-07-10,573613
17.6,2023-07-11,631054
17.7,2023-07-12,670651
15.9,2023-07-13,682990
14.7,2023-07-14,774437
12.5,2023-07-15,707563
14.8,2023-07-16,654335
16.5,2023-07-17,647458
14.6,2023-07-18,661412
14.3,2023-07-19,721988
13.4,2023-07-20,679206
13.9,2023-07-21,810917
15.8,2023-07-22,821811
13.1,2023-07-23,581641
13.5,2023-07-24,659167
14.8,2023-07-25,733512
14.7,2023-07-26,725343
17.2,2023-07-27,737450
18.9,2023-07-28,851813
18.8,2023-07-29,875799
17.9,2023-07-30,612797
16.9,2023-07-31,665412
14.9,2023-08-01,681191
17.1,2023-08-02,751830
19.8,2023-08-03,731109
18.2,2023-08-04,712564
13.6,2023-08-05,748440
13.4,2023-08-06,572965
13.7,2023-08-07,616265
14.2,2023-08-08,695424
18.4,2023-08-09,715939
14.5,2023-08-10,701878
15.7,2023-08-11,770152
16.0,2023-08-12,694933
12.9,2023-08-13,675535
12.7,2023-08-14,611238
13.1,2023-08-15,678017
15.8,2023-08-16,762814
12.5,2023-08-17,701696
13.5,2023-08-18,745063
18.2,2023-08-19,841442
19.2,2023-08-20,699600
17.8,2023-08-21,602899
14.3,2023-08-22,585163
17.0,2023-08-23,699962
17.9,2023-08-24,708502
19.8,2023-08-25,765246
15.5,2023-08-26,757886
15.7,2023-08-27,620658
16.6,2023-08-28,586406
18.4,2023-08-29,602476
14.9,2023-08-30,590748
15.8,2023-08-31,643298
14.8,2023-09-01,687767
15.8,2023-09-02,718608
20.4,2023-09-03,549518
21.6,2023-09-04,525589
15.1,2023-09-05,614726
19.4,2023-09-06,680303
22.1,2023-09-07,668103
11.7,2023-09-08,653678
13.9,2023-09-09,703005
14.9,2023-09-10,538403
17.2,2023-09-11,589712
23.3,2023-09-12,689429
25.1,2023-09-13,663621
23.9,2023-09-14,723143
22.4,2023-09-15,785545
25.0,2023-09-16,766570
23.1,2023-09-17,639991
21.9,2023-09-18,625358
28.0,2023-09-19,716317
19.0,2023-09-20,673403
14.9,2023-09-21,742557
14.9,2023-09-22,797012
16.4,2023-09-23,715001
23.8,2023-09-24,589358
23.4,2023-09-25,641214
16.4,2023-09-26,755754
17.3,2023-09-27,776040
20.1,2023-09-28,843311
27.8,2023-09-29,748942
29.7,2023-09-30,679142
20.5,2023-10-01,610362
28.5,2023-10-02,683463
19.2,2023-10-03,504502
13.5,2023-10-04,646717
16.5,2023-10-05,743064
15.2,2023-10-06,847956
14.3,2023-10-07,836185
15.8,2023-10-08,693902
15.8,2023-10-09,657417
16.5,2023-10-10,743606
26.2,2023-10-11,786779
